Row,NumGoodAlgos
1,6
2,7
3,7
4,5
5,6
6,7
7,4
8,6
9,7
10,6
11,7
12,7
13,7
14,6
15,5
16,7
17,5
18,7
19,6
20,6
21,5
22,6
23,7
24,7
25,6
26,6
27,6
28,7
29,7
30,7
31,5
32,6
33,5
34,6
35,7
36,7
37,7
38,6
39,5
40,7
41,7
42,7
43,6
44,7
45,5
46,7
47,6
48,6
49,7
50,7
51,6
52,7
53,6
54,6
55,7
56,7
57,5
58,7
59,4
60,7
61,7
62,7
63,6
64,3
65,7
66,5
67,6
68,7
69,7
70,5
71,7
72,6
73,6
74,6
75,7
76,7
77,6
78,7
79,7
80,7
81,7
82,6
83,7
84,7
85,7
86,7
87,5
88,5
89,6
90,7
91,2
92,5
93,6
94,7
95,3
96,7
97,7
98,7
99,7
100,7
101,6
102,7
103,7
104,6
105,7
106,7
107,7
108,5
109,7
110,6
111,7
112,6
113,7
114,7
115,5
116,3
117,7
118,7
119,7
120,7
121,7
122,6
123,7
124,6
125,6
126,7
127,7
128,6
129,7
130,6
131,7
132,7
133,5
134,3
135,7
136,5
137,6
138,5
139,7
140,7
141,6
142,4
143,5
144,7
145,6
146,6
147,7
148,4
149,7
150,6
151,5
152,6
153,6
154,5
155,7
156,6
157,7
158,7
159,7
160,6
161,7
162,5
163,7
164,7
165,7
166,7
167,7
168,5
169,6
170,6
171,5
172,7
173,7
174,7
175,6
176,6
177,7
178,7
179,6
180,6
181,6
182,7
183,7
184,6
185,6
186,5
187,5
188,7
189,7
190,6
191,7
192,6
193,3
194,7
195,7
196,6
197,7
198,7
199,7
200,6
201,5
202,7
203,7
204,6
205,6
206,5
207,7
208,6
209,7
210,7
211,7
212,6
213,6
214,3
215,6
216,6
217,6
218,5
219,5
220,7
221,6
222,5
223,6
224,6
225,7
226,6
227,6
228,7
229,6
230,7
231,6
232,4
233,3
234,7
235,6
236,5
237,7
238,7
239,5
240,7
241,6
242,4
243,6
244,6
245,7
246,7
247,7
248,6
249,5
250,6
251,7
252,6
253,5
254,4
255,7
256,4
257,6
258,6
259,5
260,7
261,5
262,6
263,7
264,6
265,4
266,7
267,6
268,7
269,7
270,6
271,6
272,6
273,7
274,6
275,7
276,7
277,6
278,7
279,6
280,7
281,7
282,5
283,7
284,7
285,5
286,7
287,5
288,7
289,7
290,7
291,7
292,6
293,7
294,7
295,7
296,7
297,7
298,4
299,6
300,6
301,7
302,6
303,7
304,7
305,6
306,7
307,5
308,5
309,7
310,7
311,7
312,7
313,7
314,7
315,6
316,5
317,7
318,7
319,4
320,5
321,6
322,6
323,7
324,7
325,7
326,6
327,6
328,4
329,5
330,5
331,7
332,2
333,6
334,5
335,6
336,7
337,7
338,6
339,7
340,7
341,7
342,6
343,7
344,7
345,3
346,5
347,7
348,6
349,6
350,7
351,7
352,7
353,6
354,6
355,7
356,5
357,7
358,5
359,7
360,7
361,7
362,7
363,7
364,6
365,5
366,7
367,5
368,6
369,6
370,5
371,6
372,7
373,7
374,6
375,7
376,6
377,6
378,7
379,7
380,6
381,6
382,7
383,7
384,7
385,5
386,4
387,7
388,7
389,7
390,6
391,7
392,7
393,7
394,5
395,7
396,7
397,5
398,7
399,7
400,7
401,5
402,7
403,7
404,5
405,7
406,4
407,7
408,6
409,6
410,6
411,6
412,4
413,6
414,5
415,7
416,5
417,5
418,7
419,5
420,7
421,7
422,7
423,6
424,5
425,3
426,7
427,7
428,7
429,7
430,7
431,6
432,7
433,7
434,7
435,7
436,6
437,6
438,6
439,7
440,7
441,7
442,7
443,6
444,7
445,6
446,7
447,6
448,5
449,4
450,7
451,7
452,7
453,7
454,5
455,7
456,6
457,6
458,7
459,7
460,6
461,7
462,7
463,6
464,7
465,7
466,7
467,7
468,7
469,7
470,7
471,7
472,7
473,6
474,6
