instances,feature_CL,feature_CLD,feature_DCP,feature_F1,feature_Harmfulness,feature_LSC,feature_LSR,feature_N1,feature_N2,feature_TD_P,feature_TD_U,feature_Usefulness,feature_kDN,algo_bagging,algo_gradient_boosting,algo_logistic_regression,algo_mlp,algo_random_forest,algo_svc_linear,algo_svc_rbf
1,0.2158924266276997,0.21032824437883813,0.016064257028112428,0.9090909090909092,0.008223684210526315,0.9965156794425087,0.9063524925834053,1.0,0.6599421274509494,0.8333333333333334,0.8888888888888888,1.0,1.0,0.009446817972106671,0.002175845010300744,0.7831981541579638,0.014830744294903421,0.04346643966217439,0.8680467280423048,3.35817209043161
2,0.10731496117533901,0.10172514489744455,0.016064257028112428,0.9090909090909092,0.0,0.9930313588850174,0.8641146845200852,0.0,0.3797195563659419,0.8333333333333334,0.8888888888888888,0.9965156794425087,0.5,0.009863224512919929,0.012058702311994473,0.8761136039103145,0.016440120263240255,0.005459900064668132,0.5503998113736182,0.015031076487710515
3,0.1159382780313879,0.11034969347152174,0.016064257028112428,0.8863636363636365,0.0010964912280701754,0.9965156794425087,0.8994770584430901,1.0,0.6219802396652425,0.8333333333333334,0.8888888888888888,1.0,0.7,0.009387135606255415,0.006145626544881786,0.6669237258591977,0.01831515004670967,0.0035802089011115167,0.7461719556640428,0.04565343067158853
4,0.11858821813291676,0.1131065280188952,0.0035087719298245723,0.8409090909090908,0.0013063357282821686,0.9982758620689656,0.8605123604521515,1.0,0.5559979829919486,0.3333333333333333,0.3333333333333333,1.0,0.6,0.006012989789561848,0.0038810826640080552,1.0095278241569337,0.012836926207537736,0.006999931051478061,1.536871929390533,0.031029111079799238
5,0.027787256131351357,0.022236216711284396,0.0035087719298245723,0.8409090909090908,0.0,0.996551724137931,0.8171072094056668,0.0,0.24078232652004805,0.3333333333333333,0.3333333333333333,0.9982758620689656,0.5,0.00794012509887992,0.006290711701643339,1.0798954925027386,0.013738050769872208,0.004851168285760277,0.9236995815069737,0.024011979433269378
6,0.09027419444197327,0.08468197762191221,0.016064257028112428,0.8409090909090908,0.0,0.9547038327526133,0.8201795666677231,0.0,0.15299429637946504,0.8333333333333334,0.8888888888888888,0.9790940766550522,0.0,0.00964074849231215,0.0011908529998331577,0.5974693085120847,0.01602768760492696,0.005782757997693967,0.719328195731538,0.013743133566383247
7,0.9858485364072025,0.9443499640029944,0.016064257028112428,0.9318181818181819,0.0005482456140350877,0.9860627177700348,0.9210899168137866,0.6666666666666666,0.1525722181482947,0.8333333333333334,0.8888888888888888,0.9860627177700348,0.5,0.009430017680903978,0.0041537522705423335,0.9756205947124823,5.158444558561493,0.006081878215850458,0.8267106632862287,3.6714782082593986
8,0.09127532523461901,0.08548526267923201,0.016064257028112428,0.8409090909090908,0.0,0.9895470383275261,0.8706203842261637,0.3333333333333333,0.4054448806449199,0.8333333333333334,0.8888888888888888,0.9930313588850174,0.4,0.009446817972106671,0.0012633896317670486,1.0840546205145212,0.014197733860875819,0.002835732531617885,0.3095743992395761,0.022776093359127402
9,0.09035119694557592,0.08474425553384118,0.016064257028112428,0.8863636363636364,0.0005482456140350877,0.9965156794425087,0.9440440959216182,1.0,0.6557946871932618,0.8333333333333334,0.8888888888888888,1.0,0.7,0.009387135606255415,0.005642897443290488,0.5605679005327465,0.018315131224415578,0.00519379516038423,0.6326477608472127,0.04369541275488455
10,0.1081096661856159,0.10247759201904111,0.016064257028112428,0.9090909090909092,0.0021929824561403508,0.9965156794425087,0.953607804543491,0.5,0.6040784152485571,0.8333333333333334,0.8888888888888888,1.0,0.6,0.008018175346328897,0.005802894508475614,0.6397419567516092,0.018913490770409526,0.003143705966415786,1.403590069312799,0.02159667214576082
11,0.10898898956849867,0.09916990378288976,0.0,0.8863636363636364,0.000683526999316473,0.9922839506172839,0.8796607193643394,0.5,0.1892316596832282,0.8333333333333334,0.5555555555555556,0.9922839506172839,0.3,0.006400373644683982,0.024053346825075914,0.9068446325023353,0.01566407260327745,0.002604540850819624,0.8619137794539139,0.02122382326053323
